问题,出现总次数,出现的数据集数量,出现的数据集列表
Which cropping season best matches the vegetation state in the image?,1431,1,Landsat30-AU-VQA-train
Which type of land cover is most prominent in this image?,44,1,Landsat30-AU-VQA-train
What is the spatial relationship between the river and the cultivated fields?,10,1,Landsat30-AU-VQA-train
What is the spatial relationship between the shadows and the bare surface in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the river and the surrounding bare surfaces?,1,1,Landsat30-AU-VQA-train
"Given the cloud cover in this satellite image, can it be used for further analysis",1490,1,Landsat30-AU-VQA-train
How many prominent vegetated surfaces can be seen in the image?,1,1,Landsat30-AU-VQA-train
Which of the following objects can be identified in the image?,28,1,Landsat30-AU-VQA-train
How many distinct open pit mines are visible in the image?,8,1,Landsat30-AU-VQA-train
Which thin linear structure appears most prominently in this image?,687,1,Landsat30-AU-VQA-train
What is the dominant settlement type visible in this satellite image?,1353,1,Landsat30-AU-VQA-train
Which of the following objects from the list is visible in the image?,42,1,Landsat30-AU-VQA-train
Does this image contain any visible Overhead powerline?,169,1,Landsat30-AU-VQA-train
Which type of land cover dominates the upper portion of the image?,1,1,Landsat30-AU-VQA-train
Does this image contain any visible Pipeline?,169,1,Landsat30-AU-VQA-train
What type of land cover is most dominant in the image?,9,1,Landsat30-AU-VQA-train
What is the spatial relationship between the islands and the water in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the cropland and the bare or sparsely vegetated land in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the river and the cultivated fields in the image?,13,1,Landsat30-AU-VQA-train
How many lakes can be observed in the image?,1,1,Landsat30-AU-VQA-train
What is the predominant type of land cover visible in the image?,14,1,Landsat30-AU-VQA-train
What is the dominant land cover type in this image?,132,1,Landsat30-AU-VQA-train
Which of the following objects can be seen in the image?,252,1,Landsat30-AU-VQA-train
What is the relationship between the bare surfaces and the patches of natural vegetation?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the road corridor and the cropland in the image?,4,1,Landsat30-AU-VQA-train
What is the spatial relationship between the town and the cultivated vegetation in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the forested areas and cropland in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the cropland and the river in the image?,20,1,Landsat30-AU-VQA-train
What type of land cover is predominantly shown in the image?,13,1,Landsat30-AU-VQA-train
Which type of landscape is predominantly visible in the image?,14,1,Landsat30-AU-VQA-train
Which of the following objects can be observed in the image?,87,1,Landsat30-AU-VQA-train
What is the spatial relationship between bare surfaces and vegetated surfaces in this image?,1,1,Landsat30-AU-VQA-train
Does this image contain any visible Railway track?,188,1,Landsat30-AU-VQA-train
What is the dominant land cover type in the lower half of the image?,2,1,Landsat30-AU-VQA-train
What is the spatial relation between the bare surface and vegetation in the image?,2,1,Landsat30-AU-VQA-train
Which of the following objects is visible in the image?,600,1,Landsat30-AU-VQA-train
What type of landscape is primarily depicted in this image?,52,1,Landsat30-AU-VQA-train
What type of land cover dominates the image?,23,1,Landsat30-AU-VQA-train
How many distinct shorelines are visible in the image?,1,1,Landsat30-AU-VQA-train
How many distinct river or stream features can be identified in the image?,2,1,Landsat30-AU-VQA-train
Does this image contain any visible Fence wire?,187,1,Landsat30-AU-VQA-train
How many distinct lakes are visible in the image?,4,1,Landsat30-AU-VQA-train
How many roads can be observed in the image?,2,1,Landsat30-AU-VQA-train
Which of the following objects is present in the image?,75,1,Landsat30-AU-VQA-train
How many distinct complete islands can be observed in the image?,3,1,Landsat30-AU-VQA-train
Which of the following objects is visible in the bottom of the image?,1,1,Landsat30-AU-VQA-train
How many distinct bare surface areas can be observed in the image?,1,1,Landsat30-AU-VQA-train
What is the primary land cover type visible in this image?,7,1,Landsat30-AU-VQA-train
Which type of land cover is most dominant in the image?,27,1,Landsat30-AU-VQA-train
What is the spatial relationship between the river and the agricultural fields in the image?,4,1,Landsat30-AU-VQA-train
How many distinct urban areas (city or dense urban fabric) are visible in the image?,1,1,Landsat30-AU-VQA-train
What is the predominant land cover type in the image?,60,1,Landsat30-AU-VQA-train
What is the spatial relationship between the road corridor and the river in the image?,3,1,Landsat30-AU-VQA-train
What type of landscape is primarily depicted in the image?,55,1,Landsat30-AU-VQA-train
Which type of landscape is primarily depicted in this image?,32,1,Landsat30-AU-VQA-train
How many distinct golf courses are visible in the image?,3,1,Landsat30-AU-VQA-train
What is the spatial relationship between the cropland and the urban area in the image?,1,1,Landsat30-AU-VQA-train
What is the dominant type of land cover visible in the image?,19,1,Landsat30-AU-VQA-train
What is the spatial relation between the cropland and the forest in the image?,2,1,Landsat30-AU-VQA-train
What is the spatial relationship between the river and the cultivated fields in the image?,7,1,Landsat30-AU-VQA-train
What type of land cover is most prominent in the image?,19,1,Landsat30-AU-VQA-train
What is the dominant land-cover type in this image?,10,1,Landsat30-AU-VQA-train
Which of the following features is visible in the image?,119,1,Landsat30-AU-VQA-train
Which of the following objects is visible along the edge where land meets water?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between bare surfaces and natural terrestrial vegetation in the image?,1,1,Landsat30-AU-VQA-train
What type of scene is primarily depicted in the image?,7,1,Landsat30-AU-VQA-train
How many distinct water bodies (such as rivers or ponds) are visible in the image?,2,1,Landsat30-AU-VQA-train
What is the spatial relation between the cropland patches and the natural vegetation areas in the image?,1,1,Landsat30-AU-VQA-train
How many distinct roads are visible in the image?,6,1,Landsat30-AU-VQA-train
What is the dominant type of land cover visible in this image?,7,1,Landsat30-AU-VQA-train
How many distinct water bodies can be identified in the image?,8,1,Landsat30-AU-VQA-train
What is the spatial relation between the field boundaries and the rectangular fields?,1,1,Landsat30-AU-VQA-train
How many river or watercourse branches can be seen in the lower part of the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the cropland and the road corridor in the image?,3,1,Landsat30-AU-VQA-train
What is the spatial relationship between the small lake and the bare surface in the image?,1,1,Landsat30-AU-VQA-train
What is the dominant land-cover type shown in the image?,2,1,Landsat30-AU-VQA-train
Which type of land cover best describes the majority of this scene?,4,1,Landsat30-AU-VQA-train
What is the spatial relationship between the river and the forest in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the natural bare surfaces and the small water body in the image?,1,1,Landsat30-AU-VQA-train
What is the dominant type of land cover in this image?,31,1,Landsat30-AU-VQA-train
What is the spatial relation between the road corridor and the bare surface in the image?,2,1,Landsat30-AU-VQA-train
What is the predominant land cover type in this image?,94,1,Landsat30-AU-VQA-train
Which of the following objects is visible in the top right corner of the image?,3,1,Landsat30-AU-VQA-train
What is the spatial relationship between the cropland and the bare surfaces?,1,1,Landsat30-AU-VQA-train
What is the dominant land cover type visible in the image?,38,1,Landsat30-AU-VQA-train
What is the spatial relation between the bare soil and the darker areas in the image?,1,1,Landsat30-AU-VQA-train
What is the primary type of landscape depicted in the image?,2,1,Landsat30-AU-VQA-train
What is the spatial relation between the road corridors and the natural bare surfaces?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the road corridor and the cropland fields?,1,1,Landsat30-AU-VQA-train
How many distinct watercourses (rivers or streams) are visible in the image?,1,1,Landsat30-AU-VQA-train
How many distinct rivers can be identified in the image?,10,1,Landsat30-AU-VQA-train
Which type of landscape is most prominent in this image?,11,1,Landsat30-AU-VQA-train
Which of the following objects from the list can be seen in the image?,5,1,Landsat30-AU-VQA-train
What is the spatial relation between the river and the bare surface in the image?,8,1,Landsat30-AU-VQA-train
How many major road corridors are visible crossing the image?,1,1,Landsat30-AU-VQA-train
What is the primary land cover type visible in the image?,7,1,Landsat30-AU-VQA-train
How many distinct circular irrigated fields are visible in the image?,3,1,Landsat30-AU-VQA-train
How many distinct rivers or streams can be observed in the image?,3,1,Landsat30-AU-VQA-train
What is the spatial relation between the river and the bare surfaces in the image?,6,1,Landsat30-AU-VQA-train
What is the spatial relationship between the cropland fields and the river in the image?,4,1,Landsat30-AU-VQA-train
Which of the following objects can be seen along the left edge of the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the river and the cropland fields in the image?,5,1,Landsat30-AU-VQA-train
How many distinct river segments are visible in the image?,5,1,Landsat30-AU-VQA-train
What is the relationship between bare ground and natural vegetation in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the river and the natural bare surface in the image?,4,1,Landsat30-AU-VQA-train
How many distinct rivers can be seen in the image?,12,1,Landsat30-AU-VQA-train
How many distinct water bodies are visible in the upper side of the image?,1,1,Landsat30-AU-VQA-train
How many distinct linear tracks or paths are visible in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the cropland and the natural terrestrial vegetation in the image?,2,1,Landsat30-AU-VQA-train
What is the dominant land cover type in the image?,53,1,Landsat30-AU-VQA-train
Which of the following objects is visible in the upper left part of the image?,9,1,Landsat30-AU-VQA-train
Which of the following objects is clearly visible in the image?,68,1,Landsat30-AU-VQA-train
Which type of land cover dominates the image?,25,1,Landsat30-AU-VQA-train
Which of the following objects from the list is clearly visible in the image?,8,1,Landsat30-AU-VQA-train
What is the spatial relationship between the coastline and the water body in the image?,7,1,Landsat30-AU-VQA-train
What is the spatial relation between the rectangular fields and the bare surfaces in the image?,1,1,Landsat30-AU-VQA-train
Which type of landscape is primarily depicted in the image?,29,1,Landsat30-AU-VQA-train
What is the spatial relationship between the cropland and the natural vegetation in the image?,1,1,Landsat30-AU-VQA-train
Which type of land cover is most dominant in this image?,41,1,Landsat30-AU-VQA-train
How many towns are visible in the image?,2,1,Landsat30-AU-VQA-train
How many distinct irrigated circles are visible in the image?,8,1,Landsat30-AU-VQA-train
How does the natural terrestrial vegetation relate spatially to the cultivated terrestrial vegetation in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the cultivated land and the river in the image?,2,1,Landsat30-AU-VQA-train
How many distinct river courses can be identified in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the bare surface and the small water bodies in the image?,1,1,Landsat30-AU-VQA-train
What type of landscape is predominantly visible in the image?,15,1,Landsat30-AU-VQA-train
What is the spatial relation between the water channels and the bare surfaces in the image?,1,1,Landsat30-AU-VQA-train
How many distinct drainage channels are visible in the image?,1,1,Landsat30-AU-VQA-train
What type of landscape is primarily shown in the image?,35,1,Landsat30-AU-VQA-train
What is the spatial relation between the road corridor and the natural terrestrial vegetation?,5,1,Landsat30-AU-VQA-train
What is the spatial relationship between the natural terrestrial vegetation and the agricultural fields?,1,1,Landsat30-AU-VQA-train
What type of landscape is predominantly visible in this image?,5,1,Landsat30-AU-VQA-train
Which type of landscape best describes the central area of the image?,2,1,Landsat30-AU-VQA-train
How many twons can be seen in the image?,1,1,Landsat30-AU-VQA-train
How many river-like green corridors are visible in the image?,1,1,Landsat30-AU-VQA-train
Which type of land cover best describes the majority of the area in the image?,20,1,Landsat30-AU-VQA-train
How many distinct irrigated circles can be seen in the image?,5,1,Landsat30-AU-VQA-train
What is the predominant type of land cover in the image?,16,1,Landsat30-AU-VQA-train
How many river segments can be seen in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the river and the bare ground in the image?,17,1,Landsat30-AU-VQA-train
Which of the following features is visible winding across the left side of the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the bare ground and the road corridors in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the sandy beach and the ocean in the image?,1,1,Landsat30-AU-VQA-train
What type of landscape is predominantly shown in the image?,36,1,Landsat30-AU-VQA-train
What is the spatial relation between the river and the natural bare surfaces in the image?,10,1,Landsat30-AU-VQA-train
What is the spatial relationship between the green vegetated surfaces and the surrounding brown areas?,1,1,Landsat30-AU-VQA-train
How many distinct rivers are visible in the image?,8,1,Landsat30-AU-VQA-train
How many distinct ponds or lakes can be seen in the image?,1,1,Landsat30-AU-VQA-train
Which of the following objects is visible as a winding feature through the center of the image?,1,1,Landsat30-AU-VQA-train
How many distinct water bodies are visible in the image?,30,1,Landsat30-AU-VQA-train
How many distinct linear road corridors can be observed crossing the land area in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the agricultural fields and the road corridors?,1,1,Landsat30-AU-VQA-train
Which type of land cover best describes the environment in the image?,8,1,Landsat30-AU-VQA-train
Which type of land cover best describes the majority of the area in this image?,11,1,Landsat30-AU-VQA-train
Approximately how many large rectangular fields can be seen in the image?,1,1,Landsat30-AU-VQA-train
Which of the following features can be observed in the image?,18,1,Landsat30-AU-VQA-train
Which of the following objects can be seen in the right edge of the image?,1,1,Landsat30-AU-VQA-train
Which type of land cover is most prominent in the lower part of the image?,2,1,Landsat30-AU-VQA-train
How many towns can be observed crossing the image?,2,1,Landsat30-AU-VQA-train
What is the spatial relationship between the cropland and the meandering river?,2,1,Landsat30-AU-VQA-train
What is the primary land cover type depicted in this image?,4,1,Landsat30-AU-VQA-train
What is the spatial relationship between the cultivated terrestrial vegetation and the natural terrestrial vegetation?,2,1,Landsat30-AU-VQA-train
How many major water bodies (such as rivers or lakes) can be seen in the image?,1,1,Landsat30-AU-VQA-train
Which type of landscape is predominantly shown in the image?,19,1,Landsat30-AU-VQA-train
What is the spatial relationship between the road corridors and the green fields in the image?,2,1,Landsat30-AU-VQA-train
How many distinct rectangular fields can be observed in the image?,3,1,Landsat30-AU-VQA-train
What is the spatial relation between the small town and the cropland fields?,2,1,Landsat30-AU-VQA-train
How many major road networks are visible in the image?,1,1,Landsat30-AU-VQA-train
How many distinct water bodies (including ocean and rivers) are visible in the left part of the image?,1,1,Landsat30-AU-VQA-train
How many distinct urban areas are visible in the image?,6,1,Landsat30-AU-VQA-train
How many major water bodies (such as rivers or estuaries or oceans) can be observed in the image?,1,1,Landsat30-AU-VQA-train
Which of the following objects is visible in the upper left corner of the image?,5,1,Landsat30-AU-VQA-train
What is the spatial relationship between the cropland fields and the urban fabric in the image?,1,1,Landsat30-AU-VQA-train
Which type of land cover is most prominent in the image?,41,1,Landsat30-AU-VQA-train
How many distinct clouds are visible in the image?,14,1,Landsat30-AU-VQA-train
What is the predominant land cover type visible in the image?,40,1,Landsat30-AU-VQA-train
What is the spatial relation between the road corridor and the river in the image?,8,1,Landsat30-AU-VQA-train
What type of environment is primarily depicted in left side of the image?,1,1,Landsat30-AU-VQA-train
Which of the following objects is clearly visible along the bottom edges of the image?,1,1,Landsat30-AU-VQA-train
How many distinct road corridors connect to the urban area can be observed in the image?,1,1,Landsat30-AU-VQA-train
What is the predominant type of land cover in this image?,29,1,Landsat30-AU-VQA-train
What is the predominant land-cover type visible in the image?,2,1,Landsat30-AU-VQA-train
What is the spatial relation between the river and the fields in the image?,7,1,Landsat30-AU-VQA-train
What is the spatial relationship between the ocean and the vegetated land in the image?,1,1,Landsat30-AU-VQA-train
How many distinct river segments can be seen in the bottom left corner of the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the urban area and the agricultural fields in the image?,1,1,Landsat30-AU-VQA-train
What is the dominant land cover type in the lower part of the image?,2,1,Landsat30-AU-VQA-train
What is the spatial relation between cultivated fields and bare land in the image?,1,1,Landsat30-AU-VQA-train
Which of the following objects is clearly present in the image?,7,1,Landsat30-AU-VQA-train
Which of the following features can be seen in the image?,19,1,Landsat30-AU-VQA-train
What is the spatial relation between the urban area and the lake?,1,1,Landsat30-AU-VQA-train
What is the relationship between the river and the natural bare surfaces in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the stream networks and the bare terrain in the image?,1,1,Landsat30-AU-VQA-train
How many distinct water bodies (excluding the river) are visible in the image?,1,1,Landsat30-AU-VQA-train
How many small lakes or ponds are visible in the image?,2,1,Landsat30-AU-VQA-train
Which type of landscape best describes the central part of this image?,1,1,Landsat30-AU-VQA-train
How many distinct ponds or lakes can be observed in the image?,4,1,Landsat30-AU-VQA-train
Where is the cropland located relative to the water body?,1,1,Landsat30-AU-VQA-train
Which type of landscape is primarily visible in this image?,7,1,Landsat30-AU-VQA-train
What is the spatial relation between the cropland and the bare surface?,1,1,Landsat30-AU-VQA-train
Which of the following features can be identified in the image?,2,1,Landsat30-AU-VQA-train
What is the spatial relationship between the artificial area and the natural terrestrial vegetation?,1,1,Landsat30-AU-VQA-train
How many distinct clouds can be observed in the image?,2,1,Landsat30-AU-VQA-train
What is the relationship between the river and the surrounding natural bare surfaces?,1,1,Landsat30-AU-VQA-train
Where are the artificial surfaces (urban fabric) located in relation to the patchwork fields?,1,1,Landsat30-AU-VQA-train
How many distinct water bodies (such as lakes or ponds) are visible in the image?,2,1,Landsat30-AU-VQA-train
How many horse tracks are visible in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the cultivated terrestrial vegetation and the rocky terrain?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the urban area and the cropland fields?,2,1,Landsat30-AU-VQA-train
What type of land cover dominates the scene in the image?,26,1,Landsat30-AU-VQA-train
What is the spatial relationship between the bare surface and the watercourse in the image?,1,1,Landsat30-AU-VQA-train
How many distinct bridgs are visible in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the bare surface and the road corridor?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the natural bare surfaces and the cultivated terrestrial vegetation in the image?,1,1,Landsat30-AU-VQA-train
Which of the following features can be seen winding through the landscape in the image?,4,1,Landsat30-AU-VQA-train
Which type of land cover dominates the central area of the image?,6,1,Landsat30-AU-VQA-train
Which of the following objects from the list is visible in the top right of the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the coastline and the water in the image?,4,1,Landsat30-AU-VQA-train
Which of the following objects is visible in the left centre of the image?,2,1,Landsat30-AU-VQA-train
What is the spatial relationship between the road corridor and the natural terrestrial vegetation?,9,1,Landsat30-AU-VQA-train
What is the spatial relationship between the cropland and the bare surface areas?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the roads and the green fields in the image?,1,1,Landsat30-AU-VQA-train
Which of the following objects is present in the bottom right area of the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the cropland and the natural bare surfaces in the image?,1,1,Landsat30-AU-VQA-train
How many distinct water bodies can be observed in this image?,1,1,Landsat30-AU-VQA-train
Which type of land cover best describes the majority of the scene in this image?,2,1,Landsat30-AU-VQA-train
What is the spatial relationship between the river and the surrounding land?,3,1,Landsat30-AU-VQA-train
Which type of land cover best describes the overall environment in the image?,1,1,Landsat30-AU-VQA-train
What is the relationship between the streams and the bare surfaces in the image?,1,1,Landsat30-AU-VQA-train
Which monsoonal season best matches the vegetation state in the image?,41,1,Landsat30-AU-VQA-train
What is the dominant type of land cover in the central part of the image?,3,1,Landsat30-AU-VQA-train
What is the spatial relationship between the pond and the bare surface in the image?,1,1,Landsat30-AU-VQA-train
How many major water bodies are visible in the image?,2,1,Landsat30-AU-VQA-train
What is the spatial relationship between the bare surface and the vegetated surface in the image?,1,1,Landsat30-AU-VQA-train
Which of the following objects is visible in the bottom right part of the image?,9,1,Landsat30-AU-VQA-train
What is the spatial relationship between the road and the clearing in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the road corridor and the cropland fields in the image?,3,1,Landsat30-AU-VQA-train
Which of the following objects can be observed in the bottom left of the image?,1,1,Landsat30-AU-VQA-train
Which type of land cover best describes the majority of the scene?,1,1,Landsat30-AU-VQA-train
How many distinct towns are visible in the image?,4,1,Landsat30-AU-VQA-train
What is the spatial relationship between the cultivated terrestrial vegetation and the natural terrestrial vegetation in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the town and the agricultural land in the image?,1,1,Landsat30-AU-VQA-train
Which type of landscape is most dominant in the image?,8,1,Landsat30-AU-VQA-train
How many distinct towns can be identified in the image?,3,1,Landsat30-AU-VQA-train
What is the spatial relationship between the urban fabric and the cropland fields in the image?,2,1,Landsat30-AU-VQA-train
What is the spatial relationship between the river and the cropland fields in the image?,6,1,Landsat30-AU-VQA-train
Which of the following objects can be seen in the upper right corner of the image?,5,1,Landsat30-AU-VQA-train
What is the spatial relationship between the bare ground and the water bodies in the image?,1,1,Landsat30-AU-VQA-train
How many distinct watercourses are visible in the image?,2,1,Landsat30-AU-VQA-train
What is the spatial relationship between the cropland and the forested areas?,2,1,Landsat30-AU-VQA-train
What is the spatial relationship between the green corridor and the river?,1,1,Landsat30-AU-VQA-train
Which of the following objects is visible along the edge of the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the cropland and the small town in the image?,1,1,Landsat30-AU-VQA-train
Which type of landscape is most dominant in this image?,7,1,Landsat30-AU-VQA-train
What is the spatial relation between the vegetation patches and the streams in the image?,1,1,Landsat30-AU-VQA-train
Which of the following objects is visible in the left part of the image?,5,1,Landsat30-AU-VQA-train
Which of the following objects is present in the upper part of the image?,4,1,Landsat30-AU-VQA-train
Which type of landscape dominates the central part of the image?,2,1,Landsat30-AU-VQA-train
What is the spatial relationship between cultivated terrestrial vegetation and natural terrestrial vegetation in the image?,2,1,Landsat30-AU-VQA-train
Which type of landscape is most prominent in the image?,18,1,Landsat30-AU-VQA-train
What is the spatial relationship between the bare surface and the water body in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the coastline and the urban fabric in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the road and the natural terrestrial vegetation?,1,1,Landsat30-AU-VQA-train
What type of landscape is depicted in this image?,1,1,Landsat30-AU-VQA-train
How many major river channels are visible in the image?,5,1,Landsat30-AU-VQA-train
What is the spatial relationship between the river and the natural terrestrial vegetation in the image?,3,1,Landsat30-AU-VQA-train
How many distinct cropland plots are visible in the image?,3,1,Landsat30-AU-VQA-train
What type of landscape is primarily visible in the image?,21,1,Landsat30-AU-VQA-train
What is the spatial relation between the road corridor and the cultivated land?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the cropland and the lake in the image?,1,1,Landsat30-AU-VQA-train
Which type of landscape is primarily shown on the right side of the image?,1,1,Landsat30-AU-VQA-train
Where are the artificial surfaces located in relation to the road corridor?,1,1,Landsat30-AU-VQA-train
Which best describes the overall landscape in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the river and the natural terrestrial vegetation?,5,1,Landsat30-AU-VQA-train
How many distinct road corridors can be seen crossing the agricultural fields?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the sandbar and the water in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the open pit mine and the bare ground in the image?,2,1,Landsat30-AU-VQA-train
How many major stream channels can be identified in the image?,1,1,Landsat30-AU-VQA-train
How many prominent river channels can be observed in the image?,1,1,Landsat30-AU-VQA-train
What is the relationship between the river and the cultivated land in the image?,1,1,Landsat30-AU-VQA-train
Which of the following objects is visible along the bottom edge of the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the green rectangular fields and the bare ground?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between bare surfaces and vegetation in the image?,1,1,Landsat30-AU-VQA-train
How many distinct green circular irrigated fields are visible in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the river and the natural bare surfaces in the image?,8,1,Landsat30-AU-VQA-train
What is the primary land cover type in this image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the cropland fields and the natural vegetation in the image?,2,1,Landsat30-AU-VQA-train
Which type of land cover dominates the central part of the image?,4,1,Landsat30-AU-VQA-train
What type of landscape is predominantly shown in this image?,8,1,Landsat30-AU-VQA-train
What is the spatial relationship between the cultivated fields and the natural terrestrial vegetation?,6,1,Landsat30-AU-VQA-train
What is the spatial relationship between the dry lake and the surrounding bare surface?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the river and the cultivated cropland in the image?,1,1,Landsat30-AU-VQA-train
How many distinct road corridors are visible in the image?,3,1,Landsat30-AU-VQA-train
How many complete circular irrigated fields can be identified in the image?,1,1,Landsat30-AU-VQA-train
How many main roads are visible running through the cropland?,1,1,Landsat30-AU-VQA-train
How many major rivers are visible in the image?,4,1,Landsat30-AU-VQA-train
How many distinct complete circular irrigated fields can be observed in the image?,2,1,Landsat30-AU-VQA-train
Which of the following objects is visible in the right centre of the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the natural terrestrial vegetation and the water in the image?,1,1,Landsat30-AU-VQA-train
How many gas wells are visible in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the river and the vegetation?,1,1,Landsat30-AU-VQA-train
Which of the following objects is visible in the upper right part of the image?,2,1,Landsat30-AU-VQA-train
What is the relationship between natural bare surfaces and natural terrestrial vegetation in the image?,1,1,Landsat30-AU-VQA-train
How many small lakes can be observed in the image?,1,1,Landsat30-AU-VQA-train
Which type of environment is predominantly shown in the image?,2,1,Landsat30-AU-VQA-train
What is the spatial relationship between the small town and the cropland fields?,1,1,Landsat30-AU-VQA-train
Which type of land cover best describes the environment in this image?,3,1,Landsat30-AU-VQA-train
