问题,出现总次数,出现的数据集数量,出现的数据集列表
What is the spatial relation between the cultivated cropland and the small town in the image?,1,1,Landsat30-AU-VQA-train
Which type of landscape best describes the overall scene in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the cultivated fields and the surrounding natural vegetation?,1,1,Landsat30-AU-VQA-train
How many distinct airstrips are visible in the image?,3,1,Landsat30-AU-VQA-train
How many distinct artificial areas (such as a small town) are visible in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between cultivated areas and vegetated areas in the image?,1,1,Landsat30-AU-VQA-train
How many distinct rectangular enclosures can be identified in the bottom right of image?,1,1,Landsat30-AU-VQA-train
Where are the cultivated fields located in relation to the lake?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the road corridor and the natural bare surfaces?,4,1,Landsat30-AU-VQA-train
What is the spatial relation between the road corridor and the fields in the image?,2,1,Landsat30-AU-VQA-train
Which type of land cover is most prominent in the central part of the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the cropland and the bare surface areas in the image?,2,1,Landsat30-AU-VQA-train
How many distinct highways can be observed in the image?,1,1,Landsat30-AU-VQA-train
How many major water bodies (such as rivers or ponds) are visible in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the cropland and the natural bare surface in the image?,1,1,Landsat30-AU-VQA-train
How many distinct towns are visible along the coastline in the image?,1,1,Landsat30-AU-VQA-train
How many distinct bridges can be seen in the image?,2,1,Landsat30-AU-VQA-train
"How many distinct water bodies (such as ocean, river, or wetlands) are visible in the image?",1,1,Landsat30-AU-VQA-train
How many distinct streams can be identified in the image?,2,1,Landsat30-AU-VQA-train
What is the spatial relationship between the cropland fields and the natural bare surfaces?,3,1,Landsat30-AU-VQA-train
What is the relationship between the river and the cultivated fields in the image?,3,1,Landsat30-AU-VQA-train
What is the spatial relation between cropland and natural vegetation in the image?,2,1,Landsat30-AU-VQA-train
How many distinct river channels can be identified in the image?,2,1,Landsat30-AU-VQA-train
What is the spatial relation between the cropland and the river in the image?,8,1,Landsat30-AU-VQA-train
How many distinct cropland field patches can be identified in the image?,1,1,Landsat30-AU-VQA-train
Which of the following objects can be observed in the centre area of the image?,1,1,Landsat30-AU-VQA-train
Which of the following features is visible in the top left corner of the image?,1,1,Landsat30-AU-VQA-train
How many main river channels are visible in the image?,2,1,Landsat30-AU-VQA-train
What is the spatial relationship between the natural terrestrial vegetation and the natural bare surface?,2,1,Landsat30-AU-VQA-train
How many airports can be identified in the image?,3,1,Landsat30-AU-VQA-train
Which type of scene is predominantly shown in the image?,1,1,Landsat30-AU-VQA-train
Which type of landscape dominates the central area of the image?,2,1,Landsat30-AU-VQA-train
What is the spatial relationship between the bare surface and the water?,1,1,Landsat30-AU-VQA-train
How are the croplands arranged in relation to each other in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the cropland fields and the river in the image?,6,1,Landsat30-AU-VQA-train
Which of the following objects can be observed in the right part of the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the cultivated fields and the coastline?,2,1,Landsat30-AU-VQA-train
What is the spatial relation between cultivated vegetation and bare ground in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the stream and the cultivated cropland?,1,1,Landsat30-AU-VQA-train
Which of the following objects is visible in the bottom left area of the image?,2,1,Landsat30-AU-VQA-train
What is the predominant land-cover type in the image?,2,1,Landsat30-AU-VQA-train
What is the spatial relationship between natural bare surfaces and green vegetation in the image?,1,1,Landsat30-AU-VQA-train
How many small water bodies are visible in the top right area of the image?,1,1,Landsat30-AU-VQA-train
How many complete circular irrigated fields are visible in the image?,4,1,Landsat30-AU-VQA-train
What is the spatial relationship between the river and the rectangular fields in the image?,2,1,Landsat30-AU-VQA-train
Which type of land cover best describes the majority of this image?,2,1,Landsat30-AU-VQA-train
What is the spatial relationship between the sandy areas and the water body?,1,1,Landsat30-AU-VQA-train
What is the dominant type of land cover in the image?,9,1,Landsat30-AU-VQA-train
Which of the following objects is clearly visible in the upper side of the image?,1,1,Landsat30-AU-VQA-train
Which of the following features is visible in the upper left part of the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the cultivated cropland and the river/stream in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the road corridor and the cropland fields?,6,1,Landsat30-AU-VQA-train
Which type of landscape best describes the majority of the area in the image?,5,1,Landsat30-AU-VQA-train
How many distinct agricultural fields are visible in the image?,1,1,Landsat30-AU-VQA-train
How many main drainage networks (distinct river-like features) are visible in the image?,1,1,Landsat30-AU-VQA-train
How many distinct green irrigated circles are visible in the image?,5,1,Landsat30-AU-VQA-train
How many complete circular crop fields are visible in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the river and the natural bare surfaces?,2,1,Landsat30-AU-VQA-train
How many major water bodies (excluding rivers) can be observed in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the natural bare surfaces and the river in the image?,1,1,Landsat30-AU-VQA-train
How many major rivers can be seen crossing the agricultural fields in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the cultivated fields and the natural vegetation?,3,1,Landsat30-AU-VQA-train
How many distinct patches of vegetation are clearly visible in the image?,1,1,Landsat30-AU-VQA-train
Which of the following objects is visible and winding through the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the brown fields and the green fields in the image?,1,1,Landsat30-AU-VQA-train
How many distinct sandy beach stretches are visible along the coastline in the image?,1,1,Landsat30-AU-VQA-train
How many major rivers can be seen crossing the bottom part of the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the terrestrial vegetation and the river in the image?,1,1,Landsat30-AU-VQA-train
How many ovals can be seen in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the river and the natural bare surface?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the reddish-brown bare land and the vegetated areas?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the river and the patchwork fields?,2,1,Landsat30-AU-VQA-train
What is the spatial relation between the small town and the coastline in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the cropland and the lake in the image?,2,1,Landsat30-AU-VQA-train
What is the spatial relationship between the road corridor and the cropland parcels?,1,1,Landsat30-AU-VQA-train
How many large water bodies (such as lakes or ponds or rivers) are visible in the bottom left corner of the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the road corridor and the rectangular fields?,2,1,Landsat30-AU-VQA-train
How many distinct coastline segments are visible in the image?,2,1,Landsat30-AU-VQA-train
What is the spatial relationship between the cultivated terrestrial vegetation and the large rectangular fields?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the fields and the river in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between natural bare surfaces and natural terrestrial vegetation in the image?,4,1,Landsat30-AU-VQA-train
How many distinct complete circular irrigated fields can be identified in the image?,2,1,Landsat30-AU-VQA-train
What is the spatial relationship between the cropland fields and the natural bare surfaces in the image?,4,1,Landsat30-AU-VQA-train
What is the spatial relationship between the cropland and the bare ground in the image?,2,1,Landsat30-AU-VQA-train
How many distinct channels or streams are visible in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the road corridor and the natural terrestrial vegetation in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the forest and the cultivated fields?,1,1,Landsat30-AU-VQA-train
What is the predominant land cover type visible in this image?,13,1,Landsat30-AU-VQA-train
What is the relationship between the cropland and the forest in the image?,1,1,Landsat30-AU-VQA-train
How many distinct airport runways can be seen in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the natural terrestrial vegetation and cultivated fields in the image?,1,1,Landsat30-AU-VQA-train
How many distinct urban areas can be seen in the image?,3,1,Landsat30-AU-VQA-train
Which type of landscape best describes the environment in the image?,6,1,Landsat30-AU-VQA-train
What is the spatial relationship between the river and the fields in the image?,6,1,Landsat30-AU-VQA-train
How many distinct water bodies (lakes or ponds) are visible in the image?,1,1,Landsat30-AU-VQA-train
How many rivers are clearly visible in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the cultivated fields and the natural bare surfaces?,2,1,Landsat30-AU-VQA-train
How many distinct urban areas can be identified in the image?,3,1,Landsat30-AU-VQA-train
How many distinct urban fabric areas are visible in the image?,3,1,Landsat30-AU-VQA-train
How many distinct water bodies can be seen in the image?,6,1,Landsat30-AU-VQA-train
How many distinct irrigated circles can be observed in the upper part of the image?,1,1,Landsat30-AU-VQA-train
How many airports can be observed in the image?,2,1,Landsat30-AU-VQA-train
How many distinct linear tracks can be observed in the image?,1,1,Landsat30-AU-VQA-train
Which best describes the dominant land cover in the image?,1,1,Landsat30-AU-VQA-train
How many distinct clouds can be identified in the image?,4,1,Landsat30-AU-VQA-train
What is the spatial relationship between the ponds and the agricultural fields?,1,1,Landsat30-AU-VQA-train
How many road networks are visible in the image?,1,1,Landsat30-AU-VQA-train
How many distinct complete islands are visible in the image?,5,1,Landsat30-AU-VQA-train
What is the spatial relationship between the bare ground and the cultivated areas in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between natural terrestrial vegetation and natural bare surfaces in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the road and the terrestrial vegetation in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the cultivated fields and the river in the image?,4,1,Landsat30-AU-VQA-train
What is the spatial relation between the bare surface and the cultivated fields in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the branching river and the bare surface?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the vegetation and the lakes in the image?,1,1,Landsat30-AU-VQA-train
How many main river channels are clearly visible in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the beach and the sea in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the open pit mine and the river in the image?,2,1,Landsat30-AU-VQA-train
How many airstrip are visible in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the settlement and the surrounding vegetation?,1,1,Landsat30-AU-VQA-train
How many prominent complete green circular patches are visible in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the cultivated cropland and the forests in the image?,1,1,Landsat30-AU-VQA-train
What type of land cover is predominantly visible in the image?,4,1,Landsat30-AU-VQA-train
What is the spatial relationship between the bare surfaces and any visible vegetation in the image?,1,1,Landsat30-AU-VQA-train
Where are the cropland fields located in relation to the coastline in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the town and the coastline in the image?,1,1,Landsat30-AU-VQA-train
How many distinct field boundaries can be observed in the image?,3,1,Landsat30-AU-VQA-train
Which type of landscape is most prominently depicted in the image?,4,1,Landsat30-AU-VQA-train
What is the spatial relationship between the small town and the forests in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the dendritic drainage pattern and the mining area?,1,1,Landsat30-AU-VQA-train
What is the relationship between the river and the bare surface?,1,1,Landsat30-AU-VQA-train
What is the relationship between the cropland and the water body in the image?,1,1,Landsat30-AU-VQA-train
Which type of land cover dominates the central area of this image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the urban area and the natural bare surfaces?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the sandy shore and the water bodies in this image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the beach and the water body in the image?,4,1,Landsat30-AU-VQA-train
What is the spatial relationship between the cultivated fields and the natural vegetation?,4,1,Landsat30-AU-VQA-train
What is the spatial relationship between the bare ground and water bodies in this image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the urban infrastructure and cultivated fields?,1,1,Landsat30-AU-VQA-train
Which of the following objects is visible as linear features separating fields in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the quarry and the natural bare surface in the image?,1,1,Landsat30-AU-VQA-train
How many distinct cropland sections are visible in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between cropland and river in the image?,1,1,Landsat30-AU-VQA-train
How many distinct patches of artificial surface are visible in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the coastline and the cropland in the image?,2,1,Landsat30-AU-VQA-train
How many major roads are visible in the image?,3,1,Landsat30-AU-VQA-train
How many distinct green irrigated circles can be observed in the image?,3,1,Landsat30-AU-VQA-train
What is the spatial relation between the cultivated fields and the river?,4,1,Landsat30-AU-VQA-train
How many settlements can be identified in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the patchwork fields and the natural terrestrial vegetation in the image?,1,1,Landsat30-AU-VQA-train
How many clusters of buildings are visible in the image?,1,1,Landsat30-AU-VQA-train
How are the cultivated fields arranged in relation to the water bodies?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the fields and the roads in the image?,1,1,Landsat30-AU-VQA-train
Which best describes the overall landscape visible in the image?,1,1,Landsat30-AU-VQA-train
How many center-pivot irrigation fields can be seen in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the agricultural areas and the river?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the bare surface and the cropland in the image?,1,1,Landsat30-AU-VQA-train
How many distinct circular irrigated fields can be seen in the image?,2,1,Landsat30-AU-VQA-train
What is the spatial relationship between the cropland fields and the surrounding land?,1,1,Landsat30-AU-VQA-train
Where is the artificial surface located relative to the main natural bare surfaces?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the bare surface and the stream in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the urban area and the coastline in the image?,1,1,Landsat30-AU-VQA-train
How are the patchwork fields arranged in relation to the natural vegetation patches?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between cultivated areas and bare surfaces in the image?,1,1,Landsat30-AU-VQA-train
Which of the following objects from the list is visible in the bottom right area of the image?,1,1,Landsat30-AU-VQA-train
How many roads can be identified in the centre part of the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the rectangular fields and the bare soil areas in the image?,1,1,Landsat30-AU-VQA-train
Which of the following objects is present in the upper left part of the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the urban area and the river in the image?,3,1,Landsat30-AU-VQA-train
What is the spatial relation between the road corridors and the exposed ground?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the cultivated fields and the river in the image?,6,1,Landsat30-AU-VQA-train
How many distinct water bodies (including rivers) can be observed in the image?,1,1,Landsat30-AU-VQA-train
How many clouds can be seen in the image?,3,1,Landsat30-AU-VQA-train
What is the spatial relationship between the cultivated terrestrial vegetation and the river?,1,1,Landsat30-AU-VQA-train
How many types of land cover are distinctly visible in the image?,1,1,Landsat30-AU-VQA-train
How are the fields arranged in relation to the surrounding vegetation?,1,1,Landsat30-AU-VQA-train
Which of the following objects can be seen in the centre of the image?,2,1,Landsat30-AU-VQA-train
How many rivers or streams can be seen in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between cropland fields and natural bare surfaces in the image?,1,1,Landsat30-AU-VQA-train
What is the predominant type of land cover visible in this image?,5,1,Landsat30-AU-VQA-train
What is the spatial relationship between the urban area and the cropland in the image?,2,1,Landsat30-AU-VQA-train
How many race tracks are visible in the image?,1,1,Landsat30-AU-VQA-train
How many distinct gas wells are visible in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between bare ground and other features in the image?,1,1,Landsat30-AU-VQA-train
Which of the following objects can be observed in the left part of the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the urban area and the surrounding vegetation?,1,1,Landsat30-AU-VQA-train
How many water bodies or ponds are visible in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the salt flat and the water bodies?,1,1,Landsat30-AU-VQA-train
How many cloud shadows in the image?,1,1,Landsat30-AU-VQA-train
Which of the following features is clearly visible along the edge of the land in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the fields and the streams in the image?,1,1,Landsat30-AU-VQA-train
What type of landscape dominates the image?,2,1,Landsat30-AU-VQA-train
What is the dominant type of landscape visible in this image?,1,1,Landsat30-AU-VQA-train
How many major river tributaries can be seen in the image?,1,1,Landsat30-AU-VQA-train
How many distinct sand patches are visible along the river in the image?,1,1,Landsat30-AU-VQA-train
How many major river corridors are visible in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the coastline and the vegetated areas in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the property boundaries and the cropland?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the natural bare surfaces and the area with natural terrestrial vegetation?,1,1,Landsat30-AU-VQA-train
What is the relationship between the river and the agricultural plots in the image?,1,1,Landsat30-AU-VQA-train
How many distinct river segments can be identified in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the cultivated terrestrial vegetation and the natural bare surface?,1,1,Landsat30-AU-VQA-train
How many main river channels can be seen winding through the right side of the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between cultivated cropland and natural terrestrial vegetation in the image?,3,1,Landsat30-AU-VQA-train
What is the spatial relationship between the river and the cropland fields?,2,1,Landsat30-AU-VQA-train
What is the spatial relationship between the water body and the natural bare surfaces?,2,1,Landsat30-AU-VQA-train
What is the spatial relationship between the green fields and the river?,1,1,Landsat30-AU-VQA-train
How are the cropland patches spatially related to the area of natural vegetation in the upper right?,1,1,Landsat30-AU-VQA-train
How many distinct big clearings can be seen in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the cultivated land and the water bodies in the image?,1,1,Landsat30-AU-VQA-train
Which of the following objects can be clearly seen in the image?,1,1,Landsat30-AU-VQA-train
Where is the cloud located relative to the center of the image?,1,1,Landsat30-AU-VQA-train
How many distinct rivers are clearly visible in the upper right part of the image?,1,1,Landsat30-AU-VQA-train
How many major river segments can be seen crossing the cropland fields?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the natural bare surfaces and the surrounding vegetation?,1,1,Landsat30-AU-VQA-train
What is the dominant type of land cover shown in the image?,3,1,Landsat30-AU-VQA-train
Which type of landscape dominates the upper portion of the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the town and the coastline in this image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the river and the agricultural fields?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the natural terrestrial vegetation and the coastline?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the cultivated areas and the natural vegetation in the image?,1,1,Landsat30-AU-VQA-train
What is the relationship between the river and the vegetation in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the green fields and the coastline?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the road corridors and the agricultural fields in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the tracks and the bare surface in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the cultivated fields and natural bare surfaces in the image?,1,1,Landsat30-AU-VQA-train
Which land cover type is most prominent in this image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the surface water flow paths and the bare ground in the image?,1,1,Landsat30-AU-VQA-train
How many distinct cloud with shadows are visible in the image?,2,1,Landsat30-AU-VQA-train
What is the spatial relationship between cultivated terrestrial vegetation and bare surfaces in the image?,2,1,Landsat30-AU-VQA-train
What is the spatial relationship between the bare ground and the river in the image?,1,1,Landsat30-AU-VQA-train
How many distinct complete green irrigated circles are visible in the image?,1,1,Landsat30-AU-VQA-train
How many towns can be seen in the image?,1,1,Landsat30-AU-VQA-train
How many distinct ponds can be seen in the image?,2,1,Landsat30-AU-VQA-train
Which type of landscape dominates the image?,5,1,Landsat30-AU-VQA-train
What type of land cover best describes the majority of the area in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the tracks and the cultivated vegetation in the image?,1,1,Landsat30-AU-VQA-train
Which type of environment is primarily shown in the image?,1,1,Landsat30-AU-VQA-train
Where is the artificial surface located in relation to the cropland?,1,1,Landsat30-AU-VQA-train
How many major river branches are visible in the image?,2,1,Landsat30-AU-VQA-train
How many distinct areas of bare surface can be observed in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the river and the surrounding vegetation?,11,1,Landsat30-AU-VQA-train
What is the spatial relationship between the sandbar and the water body?,1,1,Landsat30-AU-VQA-train
Which of the following objects from the list is present in the image?,4,1,Landsat30-AU-VQA-train
What is the spatial relation between the natural bare surfaces and natural terrestrial vegetation in the image?,1,1,Landsat30-AU-VQA-train
Which of the following objects is present in the upper right area of the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the river corridor and the bare ground in the image?,1,1,Landsat30-AU-VQA-train
How many distinct clouds are visible in the top right corner of the image?,1,1,Landsat30-AU-VQA-train
How many major water bodies (such as river or coast) are visible in the image?,1,1,Landsat30-AU-VQA-train
How many distinct road corridors can be observed in the image?,7,1,Landsat30-AU-VQA-train
Which of the following objects is visible in the bottom right area of the image?,3,1,Landsat30-AU-VQA-train
What is the spatial relation between the cropland fields and the area with natural vegetation in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the river and the road corridor?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the river and the cultivated land in the image?,2,1,Landsat30-AU-VQA-train
What is the relationship between the river and the fields in the image?,3,1,Landsat30-AU-VQA-train
What is the spatial relationship between the salt flat and the patchwork fields?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the road corridor and the lake in the image?,1,1,Landsat30-AU-VQA-train
How many distinct water bodies are visible in the upper part of the image?,2,1,Landsat30-AU-VQA-train
Where are the cultivated fields located relative to the majority of the bare ground in the image?,1,1,Landsat30-AU-VQA-train
How many distinct river channels can be seen in the image?,2,1,Landsat30-AU-VQA-train
How many major water bodies (rivers) can be seen in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between cultivated cropland and natural terrestrial vegetation in the image?,1,1,Landsat30-AU-VQA-train
How many distinct areas of dense vegetation can be observed in the centre of the image?,1,1,Landsat30-AU-VQA-train
What is the dominant type of landscape shown in the image?,3,1,Landsat30-AU-VQA-train
What is the spatial relationship between the water bodies and the vegetated land in the image?,1,1,Landsat30-AU-VQA-train
Which of the following features is clearly visible in the upper part of the image?,1,1,Landsat30-AU-VQA-train
How many circular fields are visible in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the sandy strip and the water body in the image?,1,1,Landsat30-AU-VQA-train
Which type of landscape is primarily shown in the image?,5,1,Landsat30-AU-VQA-train
What is the spatial relationship between the industrial zones and the nearby water bodies?,1,1,Landsat30-AU-VQA-train
Which of the following objects is visible in the lower part of the image?,2,1,Landsat30-AU-VQA-train
What is the spatial relation between the highland and the bare surface in the image?,1,1,Landsat30-AU-VQA-train
How many artificial clearings can be observed in the image?,1,1,Landsat30-AU-VQA-train
How many distinct urban fabric areas can be identified in the bottom part of the image?,1,1,Landsat30-AU-VQA-train
Which of the following objects is visible in the bottom left part of the image?,5,1,Landsat30-AU-VQA-train
What is the spatial relationship between the green vegetation corridors and the cropland?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the bare surfaces and the natural vegetation in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the town and the cropland fields?,1,1,Landsat30-AU-VQA-train
What is the dominant land cover type in the right half of the image?,2,1,Landsat30-AU-VQA-train
What is the relationship between the natural bare surfaces and cultivated terrestrial vegetation in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the cropland and the river?,6,1,Landsat30-AU-VQA-train
What is the spatial relation between the cropland and the road corridor in the image?,2,1,Landsat30-AU-VQA-train
How many sandbars are clearly visible in the image?,1,1,Landsat30-AU-VQA-train
How many major water bodies (such as rivers or ponds) are clearly visible in the image?,1,1,Landsat30-AU-VQA-train
Which of the following objects is present in the left part of the image?,3,1,Landsat30-AU-VQA-train
What is the spatial relationship between the natural bare surfaces and the seasonal river streams in the image?,1,1,Landsat30-AU-VQA-train
How many river channels can be observed in the bottom right corner of the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the cultivated areas and the dense forest?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between cropland and the lake or pond in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the river and the salt deposits?,1,1,Landsat30-AU-VQA-train
How many distinct photovoltaic installations (solar farms) are visible in the image?,1,1,Landsat30-AU-VQA-train
What type of landscape is primarily shown in this image?,7,1,Landsat30-AU-VQA-train
How many major water features (such as rivers or drainage lines) are visible in the image?,1,1,Landsat30-AU-VQA-train
How many distinct watr bodies (including rivers) are visible in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the natural bare surfaces and the sparse vegetation in the image?,1,1,Landsat30-AU-VQA-train
What is the relationship between the river and the surrounding vegetation?,1,1,Landsat30-AU-VQA-train
